[06/Dec/2020 23:36:10] INFO [django.utils.autoreload:613] Watching for file changes with StatReloader
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:300] Waiting for apps ready_event.
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:312] Apps ready_event triggered. Sending autoreload_started signal.
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:266] Watching dir C:\Users\vdono\Desktop\ET Desarrollo\marketplace\locale with glob **/*.mo.
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:266] Watching dir C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\lib\site-packages\admin_interface\locale with glob **/*.mo.
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:266] Watching dir C:\Users\vdono\Desktop\ET Desarrollo\marketplace\app\locale with glob **/*.mo.
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:266] Watching dir C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\lib\site-packages\colorfield\locale with glob **/*.mo.
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:266] Watching dir C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\lib\site-packages\crispy_forms\locale with glob **/*.mo.
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:266] Watching dir C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\lib\site-packages\rest_framework\locale with glob **/*.mo.
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:266] Watching dir C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\lib\site-packages\social_django\locale with glob **/*.mo.
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\urllib3\packages\__init__.py first seen with mtime 1606751720.05416
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1607232640.93994
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1607232641.0252192
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1607232641.1020138
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\chardet\langhebrewmodel.py first seen with mtime 1606751719.795229
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\pathlib.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\_collections_abc.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\ctypes\wintypes.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\collections\abc.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\_sitebuiltins.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\core\files\utils.py first seen with mtime 1607232640.9479184
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\social_django\urls.py first seen with mtime 1606751716.013235
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\asgiref\__init__.py first seen with mtime 1602772656.7014875
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\encodings\utf_8.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\chardet\universaldetector.py first seen with mtime 1606751719.8022094
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1607232639.049998
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\humanize\apps.py first seen with mtime 1607232640.2115455
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\middleware\http.py first seen with mtime 1607232641.0980246
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1607232639.4336252
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\social_core\__init__.py first seen with mtime 1606751716.3072731
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\pygments\lexers\_mapping.py first seen with mtime 1607002956.8050737
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1602772657.0336716
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1607232639.7378118
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\requests\_internal_utils.py first seen with mtime 1606751717.260576
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\Desktop\ET Desarrollo\marketplace\marketplace\settings.py first seen with mtime 1607308569.7320323
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\json\encoder.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\sre_compile.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\DLLs\_asyncio.pyd first seen with mtime 1583844312.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1607232641.164354
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1607232641.0451663
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1607232640.9509106
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1607232641.1354315
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\email\header.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1607232639.5812306
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\rest_framework\schemas\views.py first seen with mtime 1606776299.8263228
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\email\__init__.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\sqlparse\utils.py first seen with mtime 1602772657.0366628
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\admin\views\decorators.py first seen with mtime 1607232639.4346228
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\core\__init__.py first seen with mtime 1607232640.9229853
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\urllib\__init__.py first seen with mtime 1583843944.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\pygments\lexers\__init__.py first seen with mtime 1607002956.7990897
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1607232641.024222
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1607232640.9858172
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1607232640.9369478
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\utils\datetime_safe.py first seen with mtime 1607232641.1344342
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\PIL\TiffTags.py first seen with mtime 1603816341.8594034
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\asyncio\transports.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\functools.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\PIL\__init__.py first seen with mtime 1603816341.8633928
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\chardet\euckrfreq.py first seen with mtime 1606751719.7872498
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1607232641.145405
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\markdown\__init__.py first seen with mtime 1606776320.4510987
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1607232640.9409373
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1607232641.0262165
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1607232641.0960298
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1607232641.0920403
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\email\quoprimime.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\os.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1606751720.0442185
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\idna\package_data.py first seen with mtime 1606751720.2616057
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\urllib3\util\connection.py first seen with mtime 1606751720.059147
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1607232640.9808307
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\email\mime\__init__.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\pygments\lexers\special.py first seen with mtime 1607002956.9107947
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\requests\certs.py first seen with mtime 1606751717.2635677
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\urls\__init__.py first seen with mtime 1607232641.1234634
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\markdown\extensions\__init__.py first seen with mtime 1606776321.2699265
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\openid\store\nonce.py first seen with mtime 1606751716.9928403
